source,cos_sim,target,level
Или дитя ваше спросит вас: «Что ждет меня в загробной жизни?» ,0.7843983085356666,Или ребёнок спросит вас: «Что ждёт меня в загробной жизни?» ,b1
"Но он уже пригляделся, так что мог различать всю постель; на ней кто-то спал, совершенно неподвижным сном; не слышно было ни малейшего шелеста, ни малейшего дыхания. ",0.8012710498672203,"Он уже мог различать всю кро-вать; на ней кто-то спал, совершенно неподвижным сном; не слышно было ни малейшего дыхания. ",b1
"Свобода, свободный ум и наука заведут их в такие дебри и поставят пред такими чудами и неразрешимыми тайнами, что одни из них, непокорные и свирепые, истребят себя самих, другие, непокорные, но малосильные, истребят друг друга, а третьи, оставшиеся, слабосильные и несчастные, приползут к ногам нашим и возопиют к нам: „Да, вы были правы, вы одни владели тайной его, и мы возвращаемся к вам, спасите нас от себя самих“. ",0.8294971511823072,"Свобода, свободный ум и наука заведут их в такие дебри и поставят пред такими чудами и неразрешимыми тайнами, что одни из них истребят себя самих, другие истребят друг друга, а третьи, оставшиеся, слабосильные и несчастные, приползут к ногам нашим и возопиют к нам: «Да, вы были правы, спасите нас от себя самих». ",b1_c1
К третьему и окончательному штурму плевненской твердыни готовились весь знойный август. ,0.4877370971098205,"— Всё проще, — Варя улыбнулась ему как ребёнку и пошла К третьему штурму Плевны готовились весь август. ",b1
"Стройный, высокий, румянец во всю щеку",0.719817637741131,"Стройный, высокий, румянец во всю щёку… — Правда? ",a2
"Пожить и пожить… Любопытство меня жгло… вы этого не понимаете, но, клянусь богом, я уже не могла владеть собой, со мной что-то делалось, меня нельзя было удержать, я сказала мужу, что больна, и поехала сюда… И здесь все ходила, как в угаре, как безумная… и вот я стала пошлой, дрянной женщиной, которую всякий может презирать.",0.3105514381235262,"И здесь всё ходила, как ненормальная... и вот я стала низкой женщиной, которую никто не будет уважать.",b1
К Ганецкому не поспеть. ,0.262021940501592,Среди солдат и офицеров Ганецкого в живых почти никого не осталось. ,b1
"Хозяин думал, что лев забудет своё горе, если ему дать другую собачку, и пустил к нему в клетку живую собачку; но лев тотчас разорвал её на куски. ",0.31641332270092,Хозяин зверинца дал льву другую живую собаку. ,a2_b1
Во главу изучения природы Ломоносов ставил опыт — это его характерная черта как ученого. ,0.8768833400941292,"Во главу изучения природы Ломоносов ставил опыт, это его характерная черта как учёного. ",b1_c1
"Мы вот и любим тоже по-розну, во всем, то-есть, разница, - продолжал он тихо и помолчав. - Ты вот жалостью, говоришь, ее любишь. ",0.4049463243253733,Мы вот и любим тоже по-разному. ,b1
"Мне б-было ясно, что его там нет и быть не может",0.6310336974117797,"Мне было понятно, что его там нет и быть не может",b1
"Правду ли говорил немец, или только желал похвастаться дальновидностию, но он ни мало тем не утешил бедного больного. ",0.6848884116110053,"Правду ли говорил немец или нет, но он не утешил бедного больного. ",a2
"С усами я или без усов, а я одинаково доволен. ",0.9421511044618076,"С усами я или без усов, а я одинаково доволен... ",b2
Перед отъездом Варя пообещала ему две вещи: что скоро даст окончательный ответ и что воевать они будут непременно вместе — уж она что-нибудь придумает.,0.1370552588262023,"Перед тем как что-то сказать, Варя посмотрела в окно и увидела... башню мечети! ",b1
