fragment;textbook-assigned cefr level
Весной, летом и осенью почти каждую субботу он играет в футбол. У них в школе есть футбольная команда. А зимой он играет в хоккей. Ещё мы любим театр.;A1
Все говорят, что мама хорошая хозяйка. А ещё наша мама любит театр. Она часто смотрит спектакли в театре, а иногда по телевизору. Бабушка смотрит телевизор каждый день.;A1
На каждой двери красные плакаты и красные фонари. На Новый год мы покупаем даже красную одежду. Это очень старая традиция. Если в доме всё красное, год будет счастливый.;A1
Я считаю деньги, в час обедаю в кафе, а потом снова работаю. Вечером я играю в теннис в парке. Там гуляют дети и иногда один поэт.;A1
Магазин «Чёрный квадрат» открывается в 9 часов утра. Каждый день я езжу на работу на машине. Моя работа трудная, но очень интересная. После работы я обычно отдыхаю в кафе.;A1
Вечером она идёт пешком в салон красоты, а потом едет на машине во французский ресторан. В ресторане её ждёт друг.;A1
Ещё он изучает русский язык, потому что его жена говорит по-русски. Она любит кино и театр. Марк тоже любит театр, но абсолютно не смотрит телевизор.;A1
В комнате висит красивая люстра, около стены стоит диван-кровать, шкаф и компьютерный стол. А на стене висит фотография. На фотографии наша семья!;A1
Во время ужина они обсуждают последние новости, а после ужина едут в джаз-клуб. В 23:00 Анастасия едет домой. Дома она пьёт чай и идёт спать.;A1
Это Саманта и Джон. Они студенты-иностранцы. В Санкт-Петербурге они изучают русский язык. Сейчас урок. Преподавательница читает текст. Она читает текст громко и медленно. В классе очень тихо.;A1
Обычно вечером я смотрю телевизор. Но теперь я изучаю русский язык, поэтому вчера я не смотрела телевизор, как обычно, а учила глаголы. Но сегодня я их не помню! Это катастрофа!;A1
На столе стоит холодная закуска и холодные блюда. Сначала русские люди провожают старый год, а после полуночи встречают Новый год.;A1
Мода — это большая и важная индустрия, люди много говорят и думают о ней, а наша одежда очень много говорит о нас.;A1
Иногда мы вместе пьём чай в её маленькой гостиной и разговариваем о нашей жизни и о нашем любимом городе. Часто мы слышим, как играет на пианино сосед Николь. Он музыкант.;A1
Я пью чай или капучино и ем мороженое. По вечерам я изучаю английский язык или играю на гитаре.;A1
Я учусь в школе. Это миленькая языковая школа в Петербурге. Уже месяц я изучаю русский язык. Я уже хорошо знаю русский алфавит и умею читать и писать по-русски.;A1
любимые джинсы Когда я пошла в школу, мама подарила мне красную шапку. Я очень её любила! Я год мечтала о белой юбке. Но эта юбка была очень дорогая.;A1
У неё есть дорогая и красивая синяя машина, но она её ужасно паркует. А внизу живут пенсионеры. Они старые и тихие.;A1
Павел Буре — спортсмен. Он играет в хоккей. Он из России. Ему сейчас 41 год. Павел говорит по-русски и неплохо знает английский язык.;A1
Рауль очень талантливый человек. Он умеет играть на гитаре и петь. Он может играть на гитаре целый день.;A1
На самолёте тоже хорошо, но моя жена не любит летать на самолёте. Её любимый транспорт — велосипед или такси. Дима тоже любит ездить на машине.;A1
Почти все люди ездят на работу и делают это почти каждый день. Иногда люди ходят на работу пешком, но это редкая удача.;A1
В его комнате большая библиотека. Он говорит, что книга — хороший друг. А мой хороший друг — компьютер. Я очень люблю играть на компьютере.;A1
Она очень любит смотреть сериалы. Я думаю, что они очень длинные и скучные. Но бабушка говорит, что она смотрит сериалы с удовольствием. Мой старший брат Антон читает новый детектив.;A1
Александр Владимирович — инженер. Он родился в России, но сейчас живёт во Франции, в Париже. Александр Владимирович хорошо знает иностранные языки.;A1
Он хорошо играет в футбол и в теннис. Павел мало отдыхает. Когда у него есть время, он читает и слушает музыку. У него есть жена. Она модель из России.;A1
Женя — математик, он учится на третьем курсе на факультете математики, хотя он очень любит литературу, и он поэт. Он пишет стихи.;A1
Маленькие дети — очень любопытные люди. Они хотят знать всё и часто задают вопросы маме и папе.;A1
Я думаю, что они очень длинные и скучные. Но бабушка говорит, что она смотрит сериалы с удовольствием. Мой старший брат Антон читает книгу. В свободное время он очень любит читать.;A1
Я очень люблю театр. Когда я приехала в Москву, я узнала, что в Москве есть очень хорошие театры.;A1
Иван журналист. Его родной язык — русский. Но он хорошо знает английский язык. Иван неплохо говорит по-английски и читает английские газеты и журналы.;A1
Пьер из Франции. Он журналист. Сейчас он живёт в Санкт-Петербурге и изучает русский язык в университете. Пьер хочет работать в газете и писать статьи о России.;A1
Потом вся семья (мама, папа и сыновья) гуляет недолго вечером. Потом мама читает детские книги, а дети слушают. А что делает папа? У него тоже есть хобби — интернет.;A1
Но вчера Максим не был на занятиях, потому что у него весь день болел зуб и он плохо себя чувствовал. Вчера утром Максим был в поликлинике, а днём в аптеке.;A1
Стив из Америки. Он хорошо знает английский язык. Это его родной язык. Сейчас он изучает русский язык, но ещё плохо понимает по-русски.;A1
А мама говорит, что в квартире нет места для собаки. Около дома Максима каждый день гуляет большая собака. У неё умные глаза. Хозяин собаки сказал, что её зовут Джек.;A1
В субботу утром друзья встретились с Ниной на вокзале и поехали в Суздаль. В поезде они познакомились с Иваном. Он родился в Суздале и хорошо знает этот город.;A1
И когда человек смотрит этот фильм, он думает не о добре и зле, а о рекламе. Книга добрая, а фильм нет.;A1
