source,cos_sim,target,level
"— Ах, только не мужем, с простою усмешкой сказала она. — Я не знаю, я не думаю о нем. ",0.8630036977678716,"— Ах, только не мужем, — с простою усмешкой сказала она. — Я не думаю о нём. ",b1
"Мне скоро шестьдесят, я старик, одинокий, ничтожный старик… Ничего во мне нет хорошего, кроме этой любви к вам, и если бы не вы, то я бы давно уже не жил на свете… (Ирине.) ",0.6533175372010995,"Ничего во мне нет хорошего, кроме этой любви к вам, и если бы не вы, то я бы давно уже не жил на свете... ",b2
"Я вполне уверен, что вы раскаялись и раскаиваетесь в том, что служит поводом настоящего письма, и что вы будете содействовать мне в том, чтобы вырвать с корнем причину нашего раздора и забыть прошедшее. ",0.6218391754049089,"Я уверен, что вы раскаялись и будете содействовать мне забыть прошедшее. ",b1
Большинство пожилых людей и люди высокопоставленные были недовольны этим готовящимся общественным скандалом.,0.8740043664763198,Большинство немолодых людей и людей высокопоставленных были недовольны этим готовящимся общественным скандалом. ,b1
"— Ты всегда так, — отвечала она, как будто совершенно не понимая его и изо всего того, что он сказал, умышленно понимая только последнее. — То тебе неприятно, что я скучна, то тебе неприятно, что я весела. ",0.8473725387606841,"— Ты всегда так, — отвечала она, как будто совершенно не понимая его. — То тебе неприятно, что я скучна, то тебе неприят но, что я весела.",b1
"Вероятно, вид этих напряженных рук, тех самых мускулов, которые он нынче утром ощупывал на гимнастике, и блестящих глаз, тихого голоса и дрожащих скул убедили Васеньку больше слов. ",0.3841260361945438,"Вероятно, вид Левина убедил Васеньку больше слов. ",b1
"— Нет, нет, еще прежде, там, на той стороне. ",0.6273111245801418,"— Нет, нет, ещё раньше, там, на той стороне. ",b1
"Если бы ты слышал как следует, то я, быть может, и не говорил бы с тобой. ",1.0,"Если бы ты слышал как следует, то я, быть может, и не говорил бы с тобой. ",b2
"— Но если Маклафлин не шпион, то куда же он делся? ",0.3239038957410953,"Убедился, что Маклафлин ни в чём не виноват. ",b1
"Было даже довольно малолюдно, сравнительно с прежними годичными собраниями в такие же дни. ",0.8433372222852293,"Было даже довольно малолюдно, сравнительно с прежними собраниями. ",b1
Больше в корчме никто в шапке не сидел. ,0.2957542912618076,"Надо сказать, что в трактире только она была в шапке. ",b1
"Ну, вот почти и все, что я хотел сказать; остается только сказать, что бы тогда было, если б вы меня полюбили, только это, больше ничего! ",0.9182331168029432,"Ну, вот почти и всё, что я хотел сказать; остаётся только сказать, что бы тогда было, если б вы меня полюбили, только это, больше ничего! ",b1
Душевный человек. ,0.2850145554420705,"Если кричишь, ругаешься, значит, ты большой и важный человек. ",b1
Поздно вечером я сидел у графа. ,0.550773846582427,Часть 22  Поздно вечером Сергей был у графа. ,b1
Эраст Петрович? ,0.3881185864133119,"Эраст Петрович, узнайте сегодня всё об этом деле. ",b1
"Муж ее через ложу стал говорить с ней, а Картасова сделала ему сцену. ",0.7326667154910431,"Муж её через ложу стал говорить с ней, а Картасова ушла. ",b1
"Андрей уходит в правую дверь к себе, Чебутыкин идет за ним; в зале прощаются.",0.963084771073492,"Андрей уходит в правую дверь к себе, Чебутыкин идёт за ним; в зале прощаются.",b2
"Говорят и пророчествуют, что ты придешь и вновь победишь, придешь со своими избранниками, со своими гордыми и могучими, но мы скажем, что они спасли лишь самих себя, а мы спасли всех. ",0.376265820093091,"Говорят, что ты придёшь и вновь победишь. ",b1_c1
Спорь с человеком умнее тебя: он тебя победит… но из самого твоего поражения ты можешь извлечь пользу для себя.,0.9270998115712124,Спорь с человеком умнее тебя: он тебя победит... но из самого твоего поражения ты можешь извлечь пользу для себя. ,b1_c1
"— иронически спросил Соболев. — Ну, вошли бы русские воины в турецкую столицу, так что с того?",0.8350195953807683,"— иронично спросил Соболев. — Ну, вошли бы русские в турецкую столицу. ",b1
"- спросил вдруг князь. - Да что это, здесь все, что ли, в Павловск? ",0.7814527542571394,"— спросил вдруг князь. — Здесь все, что ли, в Павловск? ",b1
"– Решения, какого-нибудь решения, Алексей Александрович. ",0.7145985210533743,"— сказал он. — Решения какого-нибудь, Алексей Александрович. ",b1
"— Так что, граф? ",0.2758774378906244,"— Так что, мой друг, вы хотите с ним сделать? ",b1
"Россия – фантастическая страна духовного опьянения, страна хлыстов, самосожигателей, духоборов, страна Кондратия Селиванова и Григория Распутина, страна самозванцев и пугачевщины. ",0.6740186311167115,"Россия — фантастическая страна духовного опьянения, страна Григория Распутина, страна самозванцев. ",b1_c1
"Ответа не было, кроме того общего ответа, который дает жизнь на все самые сложные и неразрешимые вопросы. ",0.9520423395193964,"Ответа не было, кроме того общего ответа, который даёт жизнь на все самые сложные и неразрешимые вопросы. ",b1
"Но все-таки я честнее и благороднее очень, очень многих… И могу это доказать.",0.93901346841624,"Но всё-таки я честнее и благороднее очень, очень многих… И могу это доказать.",b2
"А летом Персиков при помощи Панкрата, на Клязьме поймал 14 штук вульгарных жаб. ",0.9858073268990256,"А летом Персиков, при помощи Панкрата, на Клязьме поймал 14 штук вульгарных жаб. ",b1_c1
"Он погладил его по голове и спросил у ребят, кто этот мальчик",0.5126647391925001,"Учитель спросил у детей, кто этот мальчик",a2_b1
"Он сказал, что тотчас же по приезде придет к нам и если я не откажусь от него, то мы скажем обо всем бабушке. ",0.7726368200149428,"Он сказал, что тотчас же, когда вернётся, придёт к нам, и если я не откажусь от него, то мы скажем обо всём бабушке. ",b1
"— Позволь я тебе серьезный вопрос задать хочу, — загорячился студент. - Я сейчас, конечно, пошутил, но смотри: с одной стороны, глупая, бессмысленная, ничтожная, злая, больная старушонка, никому не нужная и, напротив, всем вредная, которая сама не знает, для чего живет, и которая завтра же сама собой умрет. ",0.7254964366449096,"Я тебе серьёзный вопрос задать хочу, смотри: с одной стороны, глупая, злая, больная старушонка, никому не нужная, которая сама не знает, для чего живёт, и которая завтра же сама собой умрёт. ",b1_c1
"Она всё еще говорила, что уедет от него, но чувствовала, что это невозможно; это было невозможно потому, что она не могла отвыкнуть считать его своим мужем и любить его. ",0.9067540733523132,"Она всё ещё говорила, что уедет от него, но чувствовала, что это невозможно; она не могла отвыкнуть считать его своим мужем и любить его. ",b1
