source,cos_sim,target,level
"- Нет, ничего не знаю, - ответила Настасья Филипповна, сухо и отрывисто.",0.6111218943302484,"— Нет, не знаю, — ответила Настасья Филипповна холодно. ",b1
"— закричал смотритель, — поставь самовар, да сходи за сливками». ",0.7416815479449881,— закричал смотритель. — Поставь чай да сходи за сливками». ,a2
"Да вы знаете, какой сегодня день? ",0.7640765654902825,"Да вы хоть знаете, какой сегодня день? ",b1
Ведь не прислал же мне крест на другой-то день! ,1.0000000000000002,Ведь не прислал же мне крест на другой-то день! ,b1
За «проституток» его турнули из Стамбула губернатором в Салоники. ,0.1643544192190422,"В Стамбуле её не любили, так как в магазинах Парижа она оставляла огромные деньги. ",b1
"От него не дождешься никакого живого или хоть даже заносчивого слова, какое можешь услышать почти от всякого, если коснешься задирающего его предмета. ",0.7261061151801221,"От него не дождёшься никакого живого слова, какое можешь услышать почти от всякого, если коснёшься интересующего его предмета. ",b1_c1
"Она представляется многим из нас глухой и безнадежной, но все же, надо сознаться, она становится все яснее и легче, и, по-видимому, недалеко то время, когда она станет совсем светлой. ",0.9087656295281542,"Она представляется многим из нас глухой и безнадёжной, но всё же, надо сознаться, она становится всё яснее и легче, и, по-видимому, недалеко то время, когда она станет совсем светлой. ",b2
- А женились бы вы на такой женщине? ,0.8837311022770269,— А женились бы вы на такой женщине? ,b1
"Ну, до свиданья однако ж; если в силах, так погуляй и опять засни - мой совет. ",0.7155144577397691,"Ну, до свиданья; если в силах, так погуляй и опять засни. ",b1
"Например, у Ирины комната как раз для ребенка: и сухо, и целый день солнце. ",0.9396994200944232,"Например, у Ирины комната как раз для ребёнка: и сухо, и целый день солнце. ",b2
"Надо беспристрастно: свиньи, так и есть свиньи… Спасибо немцам за то, что побили… Ей-богу, спасибо. ",0.5856974492371425,"Надо беспристрастно: свиньи, так и есть свиньи... ",b1_c1
"Я никогда ни перед кем не краснела, а вы заставляете меня чувствовать себя виновною в чем-то.",0.8834786935849166,"Я никогда ни перед кем не краснела, а вы заставляете меня чувствовать себя виновной в чём-то",b1
– А давеча вы были правы: осетрина-то с душком!,0.3169629195559769,— А вы были правы: рыба ведь была несвежая! ,b1
Женщину убил... ,0.2136959969874114,"Взял с собой только тех, кому верил... ",b1
"Светлая и задумчивая, вся исполненная изящной и сложной внутренней, чуждой Левину жизни, она смотрела через него на зарю восхода.",0.4678276715066217,"Светлая и задумчивая, она смотрела на небо. ",b1
"Не до свиданья, а прощайте, мы больше уж никогда не увидимся!",0.9294478518936308,"Не до свиданья, а прощайте, мы больше уже ни когда не увидимся!",b2
"Я, граф, сам не играю — больно натура неуемная, — а посмотреть посмотрю.",0.135329542270827,Варя тоже посмотрела на него и подумала: «Чёрные волосы. ,b1
Она улыбнулась на его похвалу и через его плечо продолжала разглядывать залу. ,0.7316666664369242,Она через его плечо продолжала разглядывать зал. ,b1
"Тут и напали на ""рыцаря бедного"", кто первый, не помню… - Аглая Ивановна! ",0.4450916451826077,"Тут и нашли «рыцаря бедного», кто первый, не помню... ",b1
"Но так как разузнавать о вас не у кого, то вы и должны мне сами все рассказать, всю подноготную. ",0.6728858825225145,"Но так как узнавать о вас не у кого, то вы и должны мне сами рассказать всё о себе. ",b1
"«Разворуют твой миллион в Воспитательном, говорю. ",0.2548942239813121,А я сказал: «Наши возьмут твой миллион себе. ,b1
